uf-regiao,pma15-total,pma15-quilombola-total,pma15-total-alfabetizada,pma15-quilombola-alfabetizada
Brasil,162.951.495,1.015.034,151.547.694,822.319
Norte,12.983.834,121.740,11.923.833,106.456
Rondônia,1.233.044,2.212,1.153.509,2.043
Acre,608.858,-,535.023,-
Amazonas,2.866.187,1.825,2.667.211,1.696
Roraima,450.499,-,419.303,-
Pará,6.129.189,98.761,5.592.512,86.258
Amapá,535.583,9.120,500.941,8.266
Tocantins,1.160.474,9.822,1.055.334,8.193
Nordeste,43.108.045,690.459,36.984.056,541.313
Maranhão,5.131.119,199.517,4.358.810,155.158
Piauí,2.589.265,24.277,2.143.217,17.298
Ceará,6.992.522,18.305,6.005.313,13.477
Rio Grande do Norte,2.648.071,17.278,2.281.148,13.117
Paraiba,3.147.766,12.471,2.645.317,9.120
Pernambuco,7.164.252,59.623,6.203.293,44.162
Alagoas,2.415.992,28.141,1.989.262,19.763
Sergipe,1.740.503,21.111,1.500.088,16.094
Bahia,11.278.555,309.736,9.857.608,253.124
Sudeste,69.559.389,145.101,66.834.250,123.800
Minas Gerais,16.832.070,108.336,15.847.064,90.788
Espírito Santo,3.092.216,12.214,2.918.368,10.548
Rio de Janeiro,13.199.028,15.931,12.766.164,14.604
São Paulo,36.436.075,8.620,35.302.654,7.860
Sul,24.412.689,22.864,23.570.354,20.568
Paraná,9.249.083,5.388,8.850.749,4.719
Santa Catarina,6.187.151,3.448,6.021.965,3.187
Rio Grande do Sul,8.976.455,14.028,8.697.640,12.662
Centro-Oeste,12.887.538,34.870,12.235.201,30.182
Mato Grosso do Sul,2.150.221,2.023,2.034.357,1.850
Mato Grosso,2.828.963,9.145,2.664.471,7.915
Goiás,5.625.206,23.463,5.316.507,20.181
Distrito Federal,2.283.148,239,2.219.866,236